season,round,days_from_epoch,game_date,day,win_seed,win_region,win_market,win_name,win_alias,win_team_id,win_school_ncaa,win_code_ncaa,win_kaggle_team_id,win_pts,lose_seed,lose_region,lose_market,lose_name,lose_alias,lose_team_id,lose_school_ncaa,lose_code_ncaa,lose_kaggle_team_id,lose_pts,num_ot,academic_year
1994,16,8849,1994-03-25,Friday,09,W,Boston College,Eagles,BC,4b3ff02c-e0ba-435b-a565-6075bc491684,Boston College,67,1130,77,05,W,Indiana,Hoosiers,IND,c3f0a8ce-af67-497f-a750-3b859376b20a,Indiana,306,1231,68,0,1993
2007,64,13587,2007-03-15,Thursday,07,W,Boston College,Eagles,BC,4b3ff02c-e0ba-435b-a565-6075bc491684,Boston College,67,1130,84,10,W,Texas Tech,Red Raiders,TTU,f8c705b7-87d3-411a-9c8b-5124daab0469,Texas Tech,700,1403,75,0,2006
2001,64,11396,2001-03-15,Thursday,03,W,Boston College,Eagles,BC,4b3ff02c-e0ba-435b-a565-6075bc491684,Boston College,67,1130,68,14,W,Southern Utah,Thunderbirds,SUU,c7116621-45ed-4ab1-9ad9-dee524120569,Southern Utah,667,1381,65,0,2000
1994,64,8842,1994-03-18,Friday,09,W,Boston College,Eagles,BC,4b3ff02c-e0ba-435b-a565-6075bc491684,Boston College,67,1130,67,08,W,Washington State,Cougars,WSU,2d4f0015-adb4-4877-8c15-4a6eed7eed03,Washington St.,754,1450,64,0,1993
1994,32,8844,1994-03-20,Sunday,09,W,Boston College,Eagles,BC,4b3ff02c-e0ba-435b-a565-6075bc491684,Boston College,67,1130,75,01,W,North Carolina,Tar Heels,UNC,e9ca48b2-00ba-41c0-a02b-6885a2da1ff1,North Carolina,457,1314,72,0,1993
1985,64,5552,1985-03-15,Friday,02,W,Georgia Tech,Yellow Jackets,GT,0f63a6f5-bda7-4fd9-9271-8d33f555ca19,Georgia Tech,255,1210,65,15,W,Mercer,Bears,MER,a14b0057-8eb5-43d2-a33b-666196da933e,Mercer,406,1273,58,0,1984
1988,64,6651,1988-03-18,Friday,05,W,Georgia Tech,Yellow Jackets,GT,0f63a6f5-bda7-4fd9-9271-8d33f555ca19,Georgia Tech,255,1210,90,12,W,Iowa State,Cyclones,ISU,0e4258fa-3154-4c16-b693-adecab184c6c,Iowa St.,311,1235,78,0,1987
2005,64,12860,2005-03-18,Friday,05,W,Georgia Tech,Yellow Jackets,GT,0f63a6f5-bda7-4fd9-9271-8d33f555ca19,Georgia Tech,255,1210,80,12,W,George Washington,Colonials,GW,d52c3640-069c-4554-982e-e6537c8044f1,George Washington,249,1203,68,0,2004
1985,32,5554,1985-03-17,Sunday,02,W,Georgia Tech,Yellow Jackets,GT,0f63a6f5-bda7-4fd9-9271-8d33f555ca19,Georgia Tech,255,1210,70,07,W,Syracuse,Orange,SYR,8cd24de1-2be8-4b77-bcfa-47be0495a5f4,Syracuse,688,1393,53,0,1984
1985,16,5558,1985-03-21,Thursday,02,W,Georgia Tech,Yellow Jackets,GT,0f63a6f5-bda7-4fd9-9271-8d33f555ca19,Georgia Tech,255,1210,61,03,W,Illinois,Fighting Illini,ILL,150148c2-ca8f-414f-8f41-d94a55d4a122,Illinois,301,1228,53,0,1984
1994,64,8841,1994-03-17,Thursday,10,W,George Washington,Colonials,GW,d52c3640-069c-4554-982e-e6537c8044f1,George Washington,249,1203,51,07,W,UAB,Blazers,UAB,63a8fdcf-b51b-4de3-8a57-2a6e41d362ce,UAB,9,1412,46,0,1993
2006,64,13223,2006-03-16,Thursday,08,W,George Washington,Colonials,GW,d52c3640-069c-4554-982e-e6537c8044f1,George Washington,249,1203,88,09,W,North Carolina-Wilmington,Seahawks,UNCW,c54279f9-3028-4663-893a-7d22482f8098,UNCW,460,1423,85,1,2005
2000,64,11033,2000-03-17,Friday,08,W,Kansas,Jayhawks,KU,fae4855b-1b64-4b40-a632-9ed345e1e952,Kansas,328,1242,81,09,W,DePaul,Blue Demons,DEP,ee09e6ad-3872-4745-bbb9-ebbd5c6f8318,DePaul,176,1177,77,1,1999
1990,64,7379,1990-03-16,Friday,02,W,Kansas,Jayhawks,KU,fae4855b-1b64-4b40-a632-9ed345e1e952,Kansas,328,1242,79,15,W,Robert Morris,Colonials,RMU,6906e22d-92fa-40cb-8c05-ec8391ac1979,Robert Morris,579,1352,71,0,1989
2002,8,11770,2002-03-24,Sunday,01,W,Maryland,Terrapins,MD,2778d005-cc14-4e58-9bf2-3fc37bffb62f,Maryland,392,1268,90,02,W,Connecticut,Huskies,CONN,efba5350-79bc-47aa-a189-db177b95b491,UConn,164,1163,82,0,2001
2002,16,11768,2002-03-22,Friday,01,W,Maryland,Terrapins,MD,2778d005-cc14-4e58-9bf2-3fc37bffb62f,Maryland,392,1268,78,04,W,Kentucky,Wildcats,UK,2267a1f4-68f6-418b-aaf6-2aa0c4b291f1,Kentucky,334,1246,68,0,2001
2002,2,11778,2002-04-01,Monday,01,W,Maryland,Terrapins,MD,2778d005-cc14-4e58-9bf2-3fc37bffb62f,Maryland,392,1268,64,05,Y,Indiana,Hoosiers,IND,c3f0a8ce-af67-497f-a750-3b859376b20a,Indiana,306,1231,52,0,2001
2002,32,11763,2002-03-17,Sunday,01,W,Maryland,Terrapins,MD,2778d005-cc14-4e58-9bf2-3fc37bffb62f,Maryland,392,1268,87,08,W,Wisconsin,Badgers,WIS,c7569eae-5b93-4197-b204-6f3a62146b25,Wisconsin,796,1458,57,0,2001
2002,64,11761,2002-03-15,Friday,01,W,Maryland,Terrapins,MD,2778d005-cc14-4e58-9bf2-3fc37bffb62f,Maryland,392,1268,85,16,W,Siena,Saints,SIE,aba39ad0-6d9f-4946-bf7e-5c63bf966ce6,Siena,639,1373,70,0,2001
2002,4,11776,2002-03-30,Saturday,01,W,Maryland,Terrapins,MD,2778d005-cc14-4e58-9bf2-3fc37bffb62f,Maryland,392,1268,97,01,X,Kansas,Jayhawks,KU,fae4855b-1b64-4b40-a632-9ed345e1e952,Kansas,328,1242,88,0,2001
2008,64,13958,2008-03-20,Thursday,05,W,Notre Dame,Fighting Irish,ND,80962f09-8821-48b6-8cf0-0cf0eea56aa8,Notre Dame,513,1323,68,12,W,George Mason,Patriots,GMU,e76479d0-a768-46d2-89bf-7b9dae12bec8,George Mason,248,1206,50,0,2007
2016,16,16885,2016-03-25,Friday,06,W,Notre Dame,Fighting Irish,ND,80962f09-8821-48b6-8cf0-0cf0eea56aa8,Notre Dame,513,1323,61,07,W,Wisconsin,Badgers,WIS,c7569eae-5b93-4197-b204-6f3a62146b25,Wisconsin,796,1458,56,0,2015
2016,32,16880,2016-03-20,Sunday,06,W,Notre Dame,Fighting Irish,ND,80962f09-8821-48b6-8cf0-0cf0eea56aa8,Notre Dame,513,1323,76,14,W,Stephen F. Austin,Lumberjacks,SFA,5ef64f01-86ae-4553-9834-c79cc0859eaf,SFA,676,1372,75,0,2015
1989,64,7015,1989-03-17,Friday,09,W,Notre Dame,Fighting Irish,ND,80962f09-8821-48b6-8cf0-0cf0eea56aa8,Notre Dame,513,1323,81,08,W,Vanderbilt,Commodores,VAN,72971b77-1d35-40b3-bb63-4c5b29f3d22b,Vanderbilt,736,1435,65,0,1988
1987,32,6281,1987-03-14,Saturday,05,W,Notre Dame,Fighting Irish,ND,80962f09-8821-48b6-8cf0-0cf0eea56aa8,Notre Dame,513,1323,58,04,W,TCU,Horned Frogs,TCU,f7fcbb6e-4a55-41ea-ba21-f763ed914467,TCU,698,1395,57,0,1986
1987,64,6279,1987-03-12,Thursday,05,W,Notre Dame,Fighting Irish,ND,80962f09-8821-48b6-8cf0-0cf0eea56aa8,Notre Dame,513,1323,84,12,W,Middle Tennessee,Blue Raiders,MTU,3d2f0819-8f3b-4ff3-afd6-6227c469a751,Middle Tenn.,419,1292,71,0,1986
2016,64,16878,2016-03-18,Friday,06,W,Notre Dame,Fighting Irish,ND,80962f09-8821-48b6-8cf0-0cf0eea56aa8,Notre Dame,513,1323,70,11,W,Michigan,Wolverines,MICH,bdc2561d-f603-4fab-a262-f1d2af462277,Michigan,418,1276,63,0,2015
2002,32,11762,2002-03-16,Saturday,04,W,Kentucky,Wildcats,UK,2267a1f4-68f6-418b-aaf6-2aa0c4b291f1,Kentucky,334,1246,87,12,W,Tulsa,Golden Hurricane,TLSA,2959bd24-7007-41ae-a3a3-abdf26888cfc,Tulsa,719,1409,82,0,2001
2011,32,15052,2011-03-19,Saturday,04,W,Kentucky,Wildcats,UK,2267a1f4-68f6-418b-aaf6-2aa0c4b291f1,Kentucky,334,1246,71,05,W,West Virginia,Mountaineers,WVU,f770d3a2-221c-49ce-9c7a-680f7417fe9e,West Virginia,768,1452,63,0,2010
2002,64,11760,2002-03-14,Thursday,04,W,Kentucky,Wildcats,UK,2267a1f4-68f6-418b-aaf6-2aa0c4b291f1,Kentucky,334,1246,83,13,W,Valparaiso,Crusaders,VALP,df3da9d7-2d2b-44e2-99e2-08c4945a203b,Valparaiso,735,1434,68,0,2001
2001,32,11398,2001-03-17,Saturday,02,W,Kentucky,Wildcats,UK,2267a1f4-68f6-418b-aaf6-2aa0c4b291f1,Kentucky,334,1246,92,07,W,Iowa,Hawkeyes,IOWA,c10544de-e3bd-4776-ba2e-83df8c017fd1,Iowa,312,1234,79,0,2000
1992,32,8116,1992-03-22,Sunday,02,W,Kentucky,Wildcats,UK,2267a1f4-68f6-418b-aaf6-2aa0c4b291f1,Kentucky,334,1246,106,10,W,Iowa State,Cyclones,ISU,0e4258fa-3154-4c16-b693-adecab184c6c,Iowa St.,311,1235,98,0,1991
2001,64,11396,2001-03-15,Thursday,02,W,Kentucky,Wildcats,UK,2267a1f4-68f6-418b-aaf6-2aa0c4b291f1,Kentucky,334,1246,72,15,W,Holy Cross,Crusaders,HC,31aedd91-a77e-46c1-8bdc-80e9860c159d,Holy Cross,285,1221,68,0,2000
2016,64,16877,2016-03-17,Thursday,04,W,Kentucky,Wildcats,UK,2267a1f4-68f6-418b-aaf6-2aa0c4b291f1,Kentucky,334,1246,85,13,W,Stony Brook,Seawolves,STON,23426c0b-1705-4dfb-a0e2-efdbdd8fd6f6,Stony Brook,683,1392,57,0,2015
2010,16,14693,2010-03-25,Thursday,01,W,Kentucky,Wildcats,UK,2267a1f4-68f6-418b-aaf6-2aa0c4b291f1,Kentucky,334,1246,62,12,W,Cornell,Big Red,COR,88ff8c00-958e-4ccf-a21d-77fab9e93692,Cornell,167,1165,45,0,2009
2010,32,14688,2010-03-20,Saturday,01,W,Kentucky,Wildcats,UK,2267a1f4-68f6-418b-aaf6-2aa0c4b291f1,Kentucky,334,1246,90,09,W,Wake Forest,Demon Deacons,WAKE,4fbebf0a-e117-4a0c-8f15-c247535a2a1b,Wake Forest,749,1448,60,0,2009
2011,8,15060,2011-03-27,Sunday,04,W,Kentucky,Wildcats,UK,2267a1f4-68f6-418b-aaf6-2aa0c4b291f1,Kentucky,334,1246,76,02,W,North Carolina,Tar Heels,UNC,e9ca48b2-00ba-41c0-a02b-6885a2da1ff1,North Carolina,457,1314,69,0,2010
1992,16,8120,1992-03-26,Thursday,02,W,Kentucky,Wildcats,UK,2267a1f4-68f6-418b-aaf6-2aa0c4b291f1,Kentucky,334,1246,87,03,W,Massachusetts,Minutemen,MASS,88104678-e53b-43b3-82f7-efb3a11cedb9,Massachusetts,400,1269,77,0,1991
2011,64,15050,2011-03-17,Thursday,04,W,Kentucky,Wildcats,UK,2267a1f4-68f6-418b-aaf6-2aa0c4b291f1,Kentucky,334,1246,59,13,W,Princeton,Tigers,PRIN,fe406882-9f22-495e-9df6-ef357a6803c6,Princeton,554,1343,57,0,2010
2011,16,15058,2011-03-25,Friday,04,W,Kentucky,Wildcats,UK,2267a1f4-68f6-418b-aaf6-2aa0c4b291f1,Kentucky,334,1246,62,01,W,Ohio State,Buckeyes,OSU,857462b3-0ab6-4d26-9669-10ca354e382b,Ohio St.,518,1326,60,0,2010
2010,64,14686,2010-03-18,Thursday,01,W,Kentucky,Wildcats,UK,2267a1f4-68f6-418b-aaf6-2aa0c4b291f1,Kentucky,334,1246,100,16,W,East Tennessee State,Buccaneers,ETSU,d750d88f-f7b8-4bc3-a5f6-36e7a67ec93e,ETSU,198,1190,71,0,2009
